rating, material1, material2, time_in_seconds
2, G6Towel, G6Carpet, 44.879916
1, G2Marble, G9Jeans, 10.48521
1, G3Copper, G4CherryTree, 10.903177
1, G4LaminatedWood, G4Larch, 10.697045
1, G4LaminatedWood, G6Carpet, 10.339489
5, G3Copper, G9RedFleeze, 30.355488
1, G4WoodenPaper, G4Larch, 9.217903
1, G2StoneTileVersion3, G8GlitterPaperVersion1, 11.173854
2, G2StoneTileVersion3, G2StoneTileVersion1, 11.768727
1, G4Larch, G6Carpet, 8.481886
1, G8Paper, G4Larch, 8.895575
7, G9Jeans, G8RoughPaper, 14.657816
1, G3Brass, G9TextileVersion4, 19.55812
1, G6Towel, G4CompressedWoodVersion1, 11.050694
1, G9Jeans, G4Larch, 18.483128
4, G8GlitterPaperVersion2, G8PlayingCardPaper, 18.106009
3, G8Paper, G4LaminatedWood, 15.599616
8, G9TableClothVersion2, G9Jeans, 10.018275
1, G2CrushedRock, G3AluminumPlate, 11.627047
1, G1ProfiledAluminumPlate, G8RoughPaper, 9.004981
1, G3Brass, G4CompressedWoodVersion1, 8.075558
8, G6Towel, G8GlitterPaperVersion2, 16.27422
1, G2Brick, G4LaminatedWood, 15.352795
4, G4Bamboo, G9RedVelvet, 14.933454
5, G9GreenVelvet, G9TextileVersion3, 16.104664
1, G3StainlessSteel, G9GreenVelvet, 25.024809
1, G9TextileVersion3, G2CrushedRock, 2.937308
1, G6Towel, G2CrushedRock, 11.418416
2, G6Towel, G4Bamboo, 10.206249
1, G4WoodenPaper, G9TextileVersion4, 7.97089
1, G8PlayingCardPaper, G8RoughPaper, 9.040135
7, G9TableClothVersion2, G8Paper, 10.133857
4, G4CompressedWoodVersion1, G9TextileVersion3, 11.221821
7, G3StainlessSteel, G3AluminumPlate, 13.603817
8, G8Paper, G9RedVelvet, 11.299796
5, G3StainlessSteel, G4Teak, 13.810829
5, G2Brick, G4Teak, 16.985061
5, G4CompressedWoodVersion1, G2Brick, 9.686809
1, G2Brick, G1ProfiledAluminumPlate, 32.021029
1, G8GlitterPaperVersion2, G8Paper, 8.238912
2, G3StainlessSteel, G4CherryTree, 7.971052
4, G4ProfiledWoodPlate, G6Carpet, 9.263741
1, G4Bamboo, G3AluminumPlate, 14.256211
8, G2StoneTileVersion3, G2Marble, 8.704344
1, G2StoneTileVersion1, G8GlitterPaperVersion1, 8.927635
1, G3Brass, G8Paper, 11.540704
1, G2CrushedRock, G4WoodenPaper, 3.248398
5, G8PlayingCardPaper, G9RedVelvet, 10.857127
2, G2StoneTileVersion2, G9GreenVelvet, 12.089859
3, G2StoneTileVersion2, G2Marble, 14.135213
2, G9TextileVersion3, G9RedVelvet, 8.338313
1, G3StainlessSteel, G9TextileVersion4, 9.83819
8, G9Jeans, G9TextileVersion4, 7.706886
3, G8Paper, G8GlitterPaperVersion1, 16.647972
1, G6Towel, G4CherryTree, 12.236945
3, G6Towel, G2Marble, 13.763879
1, G3StainlessSteel, G2StoneTileVersion1, 6.998876
1, G4WoodenPaper, G1ProfiledAluminumPlate, 2.960162
8, G8Paper, G9RedFleeze, 13.785729
4, G4Larch, G9RedVelvet, 21.131021
4, G9TableClothVersion2, G4WoodenPaper, 10.425335
2, G3Copper, G2Marble, 7.743757
1, G8Paper, G4Teak, 8.19049
7, G3StainlessSteel, G2Marble, 14.415242
1, G8PlayingCardPaper, G2StoneTileVersion1, 6.445406
1, G4Larch, G8GlitterPaperVersion1, 7.239682
9, G4LaminatedWood, G4CherryTree, 9.229069
1, G9TextileVersion4, G3AluminumPlate, 10.370524
1, G3StainlessSteel, G2StoneTileVersion3, 12.437879
1, G4Bamboo, G2StoneTileVersion1, 11.682053
2, G9Jeans, G4CherryTree, 9.455448
3, G3StainlessSteel, G4Bamboo, 7.971611
1, G3StainlessSteel, G9RedFleeze, 9.901145
1, G2StoneTileVersion3, G9TextileVersion3, 10.26786
1, G2Brick, G9RedFleeze, 50.094927
1, G2CrushedRock, G4Teak, 41.144182
5, G9GreenVelvet, G4Bamboo, 9.616992
1, G2CrushedRock, G9Jeans, 7.339777
3, G4WoodenPaper, G3AluminumPlate, 9.506298
3, G8Paper, G4WoodenPaper, 16.224014
1, G2Marble, G9RedFleeze, 7.438576
1, G2StoneTileVersion1, G6Carpet, 7.842647
3, G4CompressedWoodVersion1, G4LaminatedWood, 10.094924
4, G2StoneTileVersion3, G8Paper, 12.844071
1, G4CompressedWoodVersion1, G6Carpet, 3.534182
4, G4Larch, G4ProfiledWoodPlate, 10.662915
1, G2Marble, G9TextileVersion3, 8.530257
1, G6Towel, G8RoughPaper, 13.170199
1, G8GlitterPaperVersion2, G4CompressedWoodVersion1, 2.847489
1, G9Jeans, G4LaminatedWood, 7.744586
1, G8Paper, G4CherryTree, 10.932994
1, G4LaminatedWood, G2StoneTileVersion1, 2.836533
1, G9Jeans, G2StoneTileVersion1, 7.34846
8, G9Jeans, G9RedFleeze, 11.666363
1, G2Marble, G6Carpet, 5.97867
4, G9GreenVelvet, G4LaminatedWood, 8.673441
1, G3Copper, G2StoneTileVersion3, 9.513438
1, G8GlitterPaperVersion2, G4Larch, 5.58824
2, G3Brass, G4LaminatedWood, 6.688941
1, G2StoneTileVersion2, G2Brick, 9.424814
2, G8GlitterPaperVersion2, G4WoodenPaper, 13.961477
8, G9TextileVersion4, G9RedVelvet, 9.834475
4, G9TableClothVersion2, G4ProfiledWoodPlate, 20.034266
9, G8GlitterPaperVersion2, G8GlitterPaperVersion1, 8.068021
4, G2Marble, G4ProfiledWoodPlate, 8.998949
2, G8Paper, G4Bamboo, 7.613484
1, G6Towel, G1ProfiledAluminumPlate, 2.893419
1, G9GreenVelvet, G1ProfiledAluminumPlate, 5.642491
1, G9TextileVersion3, G4Teak, 7.216495
1, G3Brass, G2CrushedRock, 8.209023
1, G8RoughPaper, G4CherryTree, 9.941953
7, G2Marble, G3AluminumPlate, 10.264733
