,G4ProfiledWoodPlate,G4Teak,G8RoughPaper,G9RedFleeze,G3Copper,G4Bamboo,G2StoneTileVersion1,G2StoneTileVersion2,G4CompressedWoodVersion1,G2Brick,G4CherryTree,G3StainlessSteel,G6Towel,G9RedVelvet,G2StoneTileVersion3,G3Brass,G6Carpet,G9TextileVersion4,G3AluminumPlate,G9TableClothVersion2,G4Larch,G9Jeans,G8Paper,G8GlitterPaperVersion1,G2Marble,G9GreenVelvet,G2CrushedRock,G8PlayingCardPaper,G1ProfiledAluminumPlate,G4WoodenPaper,G4LaminatedWood,G8GlitterPaperVersion2,G9TextileVersion3
G4ProfiledWoodPlate,0.0,0.3875,0.575,0.45,0.575,0.45,0.525,0.4875,0.3375,0.4625,0.3625,0.575,0.7125,0.625,0.5625,0.625,0.5125,0.7,0.7,0.3125,0.35,0.7,0.6375,0.425,0.4,0.55,0.3625,0.4875,0.5875,0.3625,0.5375,0.5375,0.6125
G4Teak,0.3875,0.0,0.6875,0.4125,0.6625,0.45,0.3875,0.4625,0.2875,0.55,0.4125,0.4625,0.5,0.65,0.4625,0.55,0.5375,0.6875,0.5375,0.4875,0.5,0.6625,0.6375,0.6125,0.45,0.725,0.3875,0.625,0.6125,0.4375,0.45,0.5375,0.4125
G8RoughPaper,0.575,0.6875,0.0,0.4875,0.525,0.55,0.5875,0.575,0.6875,0.575,0.625,0.4875,0.3375,0.3375,0.4875,0.525,0.45,0.45,0.5625,0.4875,0.6,0.325,0.225,0.4875,0.6,0.3125,0.475,0.275,0.7875,0.375,0.65,0.4625,0.3875
G9RedFleeze,0.45,0.4125,0.4875,0.0,0.4375,0.55,0.6125,0.4375,0.5625,0.55,0.6875,0.4375,0.3375,0.3375,0.5375,0.425,0.45,0.2375,0.5875,0.3375,0.575,0.2,0.2875,0.475,0.55,0.3125,0.45,0.4125,0.675,0.525,0.5,0.4375,0.25
G3Copper,0.575,0.6625,0.525,0.4375,0.0,0.4375,0.7625,0.475,0.575,0.7625,0.725,0.3125,0.3125,0.4875,0.6,0.175,0.525,0.525,0.2875,0.5375,0.6125,0.5875,0.5375,0.5875,0.525,0.3625,0.55,0.3625,0.75,0.4875,0.4625,0.3625,0.5375
G4Bamboo,0.45,0.45,0.55,0.55,0.4375,0.0,0.6375,0.4375,0.4625,0.6875,0.55,0.4,0.625,0.5375,0.575,0.4625,0.4375,0.6,0.4875,0.475,0.35,0.5875,0.5375,0.45,0.55,0.5125,0.6,0.425,0.6375,0.3875,0.5375,0.5375,0.6125
G2StoneTileVersion1,0.525,0.3875,0.5875,0.6125,0.7625,0.6375,0.0,0.2375,0.5125,0.5125,0.45,0.6,0.625,0.6,0.4375,0.6875,0.575,0.6375,0.575,0.45,0.425,0.675,0.65,0.65,0.3375,0.6625,0.4875,0.7625,0.575,0.6,0.5125,0.6,0.5625
G2StoneTileVersion2,0.4875,0.4625,0.575,0.4375,0.475,0.4375,0.2375,0.0,0.4125,0.3875,0.4,0.675,0.7,0.6875,0.275,0.5875,0.5875,0.6375,0.5375,0.5375,0.5125,0.475,0.7,0.525,0.4375,0.75,0.4375,0.75,0.6,0.475,0.5375,0.6875,0.4625
G4CompressedWoodVersion1,0.3375,0.2875,0.6875,0.5625,0.575,0.4625,0.5125,0.4125,0.0,0.5875,0.3875,0.6125,0.7125,0.6125,0.4,0.75,0.7,0.5375,0.7125,0.475,0.3625,0.4125,0.5625,0.5625,0.8,0.7875,0.3625,0.725,0.4375,0.5125,0.6,0.625,0.35
G2Brick,0.4625,0.55,0.575,0.55,0.7625,0.6875,0.5125,0.3875,0.5875,0.0,0.5375,0.7875,0.8,0.6625,0.525,0.7375,0.65,0.7,0.7125,0.475,0.35,0.3875,0.7125,0.525,0.65,0.725,0.2125,0.525,0.575,0.4375,0.625,0.4875,0.4875
G4CherryTree,0.3625,0.4125,0.625,0.6875,0.725,0.55,0.45,0.4,0.3875,0.5375,0.0,0.625,0.5625,0.625,0.35,0.5125,0.65,0.6375,0.575,0.5,0.5625,0.5375,0.6625,0.5,0.575,0.6125,0.6,0.675,0.6,0.4625,0.3875,0.5125,0.425
G3StainlessSteel,0.575,0.4625,0.4875,0.4375,0.3125,0.4,0.6,0.675,0.6125,0.7875,0.625,0.0,0.625,0.625,0.475,0.25,0.55,0.5,0.2125,0.6625,0.7125,0.6,0.4,0.3875,0.3625,0.5,0.6,0.3375,0.6375,0.3625,0.65,0.45,0.5625
G6Towel,0.7125,0.5,0.3375,0.3375,0.3125,0.625,0.625,0.7,0.7125,0.8,0.5625,0.625,0.0,0.2375,0.7625,0.55,0.4125,0.3,0.4625,0.475,0.5875,0.3625,0.375,0.525,0.4625,0.425,0.5875,0.2875,0.7375,0.575,0.725,0.4375,0.3
G9RedVelvet,0.625,0.65,0.3375,0.3375,0.4875,0.5375,0.6,0.6875,0.6125,0.6625,0.625,0.625,0.2375,0.0,0.6375,0.475,0.3,0.3,0.7125,0.425,0.7,0.35,0.45,0.5875,0.7,0.4375,0.6375,0.325,0.7875,0.5375,0.6875,0.4,0.5125
G2StoneTileVersion3,0.5625,0.4625,0.4875,0.5375,0.6,0.575,0.4375,0.275,0.4,0.525,0.35,0.475,0.7625,0.6375,0.0,0.675,0.5125,0.7125,0.7,0.4,0.5625,0.5,0.6125,0.5,0.4875,0.7,0.4875,0.5875,0.525,0.375,0.45,0.4375,0.475
G3Brass,0.625,0.55,0.525,0.425,0.175,0.4625,0.6875,0.5875,0.75,0.7375,0.5125,0.25,0.55,0.475,0.675,0.0,0.3875,0.35,0.425,0.4125,0.5625,0.5875,0.3625,0.475,0.55,0.2625,0.7125,0.6375,0.6625,0.5125,0.475,0.5375,0.4375
